,video_id,video_title,upload_date,view_count,like_count,comment_count
199,qndFAkCvh6I,Where and how much to invest according to your age? | Ankur Warikoo,2021-11-13,397526,16166,1969
200,-mkX7z4A32k,I am gifting stocks - see how! | Ankur Warikoo,2021-11-11,72938,3022,442
201,DfWVGMPcUPA,My weekly schedule| Ankur Warikoo,2021-11-09,199686,9802,942
202,1gWwlIgua2g,Want to RETIRE before 30? WATCH THIS!,2021-11-06,1663528,62385,5210
203,K_QEvEAs1xo,DON’T make these mistakes in your 20s | Ankur Warikoo,2021-11-04,424281,29997,2467
204,soMHbU3Uqjk,My life&#39;s BEST Financial Decisions | Ankur Warikoo,2021-11-02,340196,14071,1096
205,RwKEqGOpqQs,True cost of Smallcase Investing EXPOSED | Ankur Warikoo,2021-10-30,334912,13202,1237
206,lqsOsPcGdAs,10 Questions to ask before buying Health Insurance | Ankur Warikoo,2021-10-28,128017,5080,507
207,-TsGycxsBy0,1 Million Special! | YouTube LIVE with Ankur Warikoo,2021-10-26,86159,6014,393
208,dbBbaQqIOu0,How I make money using Credit Cards | Ankur Warikoo,2021-10-23,2741396,40686,3634
209,jGf-qfDvH5k,When to sell a stock or share | Ankur Warikoo,2021-10-21,160106,8028,482
210,4dZPzbdScy8,I INVESTED IN A FIXED DEPOSIT!,2021-10-19,220826,9092,834
211,KvAbYzde7hs,When is it okay to give up?,2021-10-16,128746,8545,940
212,tCSR6XcvzGc,What is EPNS? | New and emerging careers in Technology,2021-10-14,216538,11522,507
213,0gUgm4zB2F4,Top 30 Soft Skills for a Better Career in 2021!,2021-10-12,266112,15799,992
214,fcbB0nkDik8,Introduction to Microsoft Excel - Excel Basics Tutorial,2021-10-09,434148,20384,1189
215,RuZU5RNpxTY,EPF or PPF - Which one should you invest in?,2021-10-07,378618,13074,879
216,JRDIqW6UyK4,"Why I invest in US Stocks - And you should, too!",2021-10-05,284211,11025,2248
217,bGgGp72D_OI,I was lost at 24...,2021-10-02,663179,51006,4304
218,S2c56qTcNio,Ask Me Anything! | YouTube LIVE with Ankur Warikoo,2021-09-30,77537,3763,215
