,video_id,video_title,upload_date,view_count,like_count,comment_count
240,5XVIhmtzLLM,Why are big investors buying this TECH giant?,2021-11-14,230511,5671,437
241,zDj4VoNu0yg,Buying big!,2021-11-13,177641,8345,809
242,LIWTSmk1rlI,Inexpensive stocks: Are they worth it?,2021-11-12,523102,12820,1091
243,30wmprUlw3I,How Penny stocks move?,2021-11-11,332249,13130,756
244,VrG-wQ5plGw,Investing in these two Cryptos!,2021-11-10,131344,4510,899
245,L4anHNVN21E,FOMO Marketing?,2021-11-09,306311,27348,1742
246,eMZ6-gjG3Sk,How to make MORE MONEY? | A masterclass on Passive Incomes #stocks #cryptos,2021-11-08,198196,8355,632
247,39y-nyM3xKo,"Yield Farming, Bonds and Squid Tokens!",2021-11-07,102247,3557,589
248,KxAxntYazAQ,Buying big!,2021-11-06,286991,8779,707
249,cgi7H11KMac,This stock can give 5X returns?,2021-11-05,123970,3442,462
250,pAgaEWah0kg,What am I buying for my Son for the next 20 Diwalis #MuhuratTrading,2021-11-04,217249,7540,975
251,2RygPXeoiNg,Finance YouTuber singing | 500k special video | #shorts,2021-11-03,149693,14724,878
252,1mV_sjFLKPY,How to get RICH?,2021-11-02,85553,4415,542
253,D3AAiauEbsg,Where should you invest: HDFC vs ICICI?,2021-11-01,117081,5243,447
254,CUMc1pRoXlQ,"Next 5 years, where am I investing",2021-10-31,171110,7251,852
255,pfe9NVW9Ll0,7000000% returns on this asset?! Building an investment framework,2021-10-30,138447,4570,596
256,iJwbHeQkfDc,This SMALLCAP can give massive returns | DII/FII are missing this stock!,2021-10-29,275673,12181,1165
257,TPR7TfrGUHw,Buy/Sell?,2021-10-28,198671,10566,841
258,_fwHMckVLa8,Investing in this new asset,2021-10-27,103298,4284,651
259,0pHkufFiFks,Investing heavily in these stocks (#Smallcase),2021-10-26,187281,7879,642
260,9RNoid4y7i4,Buying HUL | Why are BIG INVESTORS purchasing these stocks? | Akshat Shrivastava,2021-10-25,252143,10407,1189
261,lPTXNq3cfzI,How and when am I buying more of this asset,2021-10-24,107951,4379,600
262,qTlmXPUOG_k,How do I invest in Mutual Funds? INDEX INVESTING (Market Weighted vs Equal Weighted) | DSP,2021-10-23,246592,8384,775
263,bUXLJiZhb8M,Asian Paints  a mid-cap MULTIBAGGER,2021-10-22,194174,7558,1407
264,Nqc_6I3turw,My investing style | Answering Crypto and Stock market critics,2021-10-21,83090,4903,1432
265,xhFfRLTb45w,"Buy, Hold or Sell?",2021-10-20,230442,9615,1263
266,1SyX64uQTgM,One stock that I REGRET not buying.,2021-10-18,154666,3947,614
267,Gcox6BZXGxU,INVEST MORE? | 25% gains since my last video on ITC,2021-10-17,150739,4435,715
268,um42od-JW-M,Masterclass on communicating effectively | How did I improve my English,2021-10-16,83314,4581,263
269,hjglquW-RRA,BUYING more stocks | Investing,2021-10-15,217057,10823,1042
270,1JzGemtOpO4,THINK in English and become FLUENT! #shorts #cambly,2021-10-15,99954,3561,31
271,i8kiKaht74U,Buy this and get bankrupt | Shiba Inu,2021-10-13,241538,6317,1491
272,gTWWJ00Btg4,"Low risk, high return SMALL CAP",2021-10-12,320173,12711,1367
273,0QtG_bRhGM0,"0 Profits, Billions in Valuations | IPO Analysis",2021-10-11,105983,4141,910
274,p2g8xXjsXyg,A PENNY Stock worth GOLD!,2021-10-10,481599,20551,1401
275,IeFkmdcGTlk,YOUTUBE LIVE: A discussion about Stock Market and Career,2021-10-08,61143,2335,200
